$Achievement
$ExOption
$ChatCommand
$RoleDocuments

# 扩展选项Extend
"options.role.lover.ChatActive" : "Lovers Have Private Chat"
"options.lover.DCRemoveLover" : "Removes The Lover When One Lover Leaves The Game"
"options.sheriff.playerdeadunlockkill" : "Dead Body Within A Certain Range,Can Be Killed Immediately"
"options.sheriff.playerdeadunlockkill.detail" : ""
"options.role.sheriff.cankillmadmatemodifier" : "Can Kill Madmate With Modifiers"
"options.role.sheriff.cankillsidekickmodifier" : "Can Kill Sidekick With Modifiers"
"options.role.doctor.canuseshield" : "Doctor Can Use Shield"
"options.role.doctor.shieldNoblockGuessed" : "Guesses Can not Ignore The Shield"
"options.assignment.canGenerateInfected" : "Can Generate Defection"
"options.assignment.canGenerateInfected.detail" : "When Enabled, One Remaining Imp, And The Number Meets The Conditions,<br> Defection  Appears."
"options.assignment.Genifplayer" : "Num Of People Needed"
"options.assignment.InfectedHasGuesser" : "Defection Have shot capacity"
"options.assignment.InfectedGuessNum" : "Defection Num Of Shots"
"options.assignment.InfectedSetRoleImmediately" : "Defection Role Changes Immediately"
"options.role.sidekick.canusevent" : "Can Vent"
"options.perk.glowallflower" : "Plants Immediately Ripenl"
"options.map.PolusHasOxygenSab" : "Polus O2 Sabotage"
"options.map.PolusOxygenSabTime" : "Polus O2 Sabotage Countdown"
"vanilla.general.completedTasks" : "Number of completed tasks %COMPLETEDTASK%/%TOTALTASK%"
"general.OnEnterFinal" : "Final Time<br>You Can Run"

"options.raider.CanUseNormalKill" : "Directly Kill"
"options.sniper.CanUseNormalKill" : "Directly Kill"
"options.sniper.CanLockMini" : "Can Lock Minicrew"
"options.navvy.canusecamera" : "Can Remote Security"
"options.desperate.AssignToAllImpostor" : "All Imp Desperate"
"options.desperate.AssignToAllImpostor.detail" : "When Enabled, All Imps Will Receive The "Strayer" Modifiers"
"options.desperate.DoNotAssignToLoverImpostor" : "Lover Imp non Desperate"
"options.desperate.DoNotAssignToLoverImpostor.detail" : "When Enabled, Imps With Lovers Will Not Receive The "Strayer" Modifiers"
"options.general.AssignHostOp" : "Assign Op To Host Can Get Achievement"
"notification.lobby.HostHasOP" : "Host Have Op"
"options.role.sidekick.promoteRandomJackalizedRole" : "Sidekick Inherit Has Random Role"
"options.role.sidekick.promoteNoJackalizedRole" : "Sidekick Inherit Not Inheriting Role"
"options.role.sidekick.canWinAsOriginalTeam" : "Can Win As Original Team"
"options.map.commsabCamouflager" : "Communication Sabotage Has Camo"
"options.map.commsabRandomCosmic" : "Camo Use Randomly Use Player Costumes"
"options.role.psychic.sendmessagemode" : "Information Transmission Mode"
"options.role.collator.sendmessagemode" : "Information transmission mode"
"options.role.trapper.EvilTrapperKillTrapPLUS" : "Kill Trap Separate Cooldown"
"options.role.trapper.AccelTrapOnlyCrewmate" : "Only Accel Crew"
"options.role.trapper.DecelTrapOnlyImpostor" : "Only Decel Imp"
"options.role.trapper.placeTrapNoMeetingStart" : "Trap Effective Immediately"
"options.role.trapper.AccelTrapCost" : "Cost Of Accel Trap"
"options.role.trapper.DecelTrapCost" : "Cost Of Decel Trap"
"options.role.jester.cancallmeeting" : "Can Call Emergency Meetings"
"role.jester.cannotmeeting" : "Jester Can't Call Emergency Meetings"
"options.role.destroyer.invisibledestroycanmove" : "Can Move When Being Killed By An Invisible Destroyer."
"options.role.snatcher.cannotguessSnatchedPlayer" : "Prevent Guessing The Stolen Role"
"options.role.jackal.useoldpromotesidekick" : "Use Old Promote"
"options.role.jackal.useoldpromotesidekick.detail" : "When Enabled, Sidkick Always Promote When Any One Of Jackal Die."
"options.role.jackal.canInvokeSabotage" : "Can Use Sabotage"
"options.role.jackal.noAliveImpostorSabotageWin" : "Jackal Sabotage Win"
"options.role.jackal.noAliveImpostorSabotageWin.detail" : "When Enabled, Jackal Can Win By Sabotage When All Impostors Die."
"options.exile.showevilmodifier" : "Show Evil Modifiers"
"options.exile.showallmodifier" : "Show All Modifiers"
"options.assignment.canGenerateLastImpostor" : "Can Appear Last Impostor"
"options.assignment.GenLastImpostorifPlayer" : "Num Of Players Need"
"options.assignment.cannotGenerateLastImpostorHasInfected" : "Do Not Create LsatImpostor When Have Deserter"
"options.role.lastimpostor.clockRatio" : "Cooldown Ratio"
"options.role.mayor.extravoteAnonymous" : "Mayor Extra Anonymous Vote"

"options.extra" : "额外设置Additional settings"
"options.extra.detail" : "Settings for various other functions"
"options.general.showImpostor" : "Show The Impostors When The Game Start"
"options.general.CrewmateHasEcho" : "Crewmates Can Perceive The location Of The Impostor"
"options.general.echoskillusetime" : "Ping Inrerval"
"options.general.HasHNSMusic" : "Use Hide N Seek Music"
"options.general.CannotReport" : "Can't Report"
"options.general.ImpostorCannotMoveTime" : "Impostors Can't Move Time"
"options.general.hasfinal" : "Use Final Hide"
"options.general.enterfinalLefttasknm" : "Remaining Num Of Tasks Required For The Final"
"options.general.FinalImpotorSpeedUp" : "Final Hide Imp Speed(ratio)"
"options.general.ImpostorHasVitals" : "Imps Can Use Portable Vitals"
"options.general.CrewmateHasVitals" : "Crews Can Use Portable Vitals"
"options.general.CanSeePlayerState" : "Show All Players' Vital Signs"
"options.general.CanSeeAllPlayerDead" : "Use Players Death Announcement"
"options.general.ShowTaskNum" : "Show Tasks Counts"
"options.general.hasfreechat" : "Action Phase Chat"
"options.general.impostorMustKillAllToWin" : "Impostor Need Kill Everyone"
"options.general.FinalImpostorScanCooldown" : "Seek Cooldown"
"options.general.cansendAdminMessage" : "Allow Sending Special Messages"
"options.general.UseFlashLight" : "Flashlight Mode"
"options.general.crewmateFlashSize" : "Crewmate Flashlight Size"
"options.general.impostorFlashSize" : "Impostor Flashlight Size"
"options.general.impMeetingChat" : "Impostors Text Radio"
"options.general.impMeetingChat.detail" : "If there were a crawler engineer, imps team could use Independent radio during the meeting.<br>Right click switch, or use "/impchat" prefix"
"options.general.jackalMeetingChat" : "Jackal Text Radio"
"options.general.jackalMeetingChat.detail" : "Jackal team could use Independent radio during the meeting.<br>Right click switch, or use "/jackalchat" prefix"
"options.general.LoverMeetingChat" : "Lover Text Radio"
"options.general.LoverMeetingChat.detail" : "Lover team could use Independent radio during the meeting.<br>Right click switch, or use "/loverchat" prefix"
"options.general.moriartyMeetingChat" : "Moriarty Text Radio"
"options.general.moriartyMeetingChat.detail" : "Moriarty team could use Independent radio during the meeting.<br>Right click switch, or use "/moriartychat" prefix"
"chat.impostor" : "(Impostor Text Radio)"
"chat.jackal" : "(Jackal Text Radio)"
"chat.lover" : "(Lover Text Radio)"
"chat.moriarty" : "(Moriarty Text Radio)"
"chat.current" : "%CHAT%Text Radio(Right click switch) "
"chat.public" : "Public"
"chat.impostortext" : "Impostor"
"chat.jackaltext" : "Jackal"
"chat.lovertext" : "Lover"
"chat.moriartytext" : "Moriarty"
"options.map.general.timelimit" : "Game Time Limit"
"options.map.general.timelimit.min" : "Game Time Limit(minute)"
"end.timeout.skeld" : "An Endless Voyage"
"end.timeout.mira" : "Headquarters Out Of Control"
"end.timeout.polus" : "The Forgotten Planet"
"end.timeout.airship" : "Towards The Ownerless Sky"
"end.timeout.fungle" : "Fungle Are Growing"
"end.nobodyalive" : "Uninhabited Land"

"button.label.doctorshield" : "PROTECT"
"button.label.globalscan" : "SEEK"
"button.label.navvyCam" : "SECURITY"

"intro.impostors" : "There are<color=#FF1919FF> %NUM% impostor</color> among us"

"state.baddream" : "Bad dream"

"hint.addonDoctor.title" : "About Doctor"
"hint.addonDoctor.detail" : "Here, we have added the Shield skill to the doctor.<br>There are more special death reasons in Plan17 so don't forget to check your tablet again."
